person_id,work_id,author_ja,title,narration,register_level,audience,form,genre_main,genre_sub,author_sex,completeness,first_medium,year_first,year_source,year_first_end,note,editorial_note
000129,004376,森鴎外,即興詩人,first,canonical,general,novel,Fiction,Translation,M,complete,magazine,,editor,1901,,アンデルセン。雅文体翻訳の一人称 ／ 初出媒体は編者の判断（青空文庫の索引に初出欄なし）: 「しがらみ草紙」「めさまし草」1892〜1901連載
001341,049658,永井荷風,日和下駄,first,canonical,general,essay,Nonfiction,Sketch-Essay,M,complete,magazine,,editor,1915,,副題「一名 東京散策記」。大正期随筆の代表 ／ 初出媒体は編者の判断（青空文庫の索引に初出欄なし）: 「三田文学」1914〜1915連載
000153,000814,石川啄木,時代閉塞の現状,none,canonical,general,treatise,Nonfiction,Criticism,M,complete,book,,editor,1913,,"評論 ／ 初出媒体は編者の判断（青空文庫の索引に初出欄なし）: 1910年執筆・生前未発表。『啄木遺稿』(東雲堂,1913)が初出"
000083,000502,菊池寛,父帰る,dialogue,canonical,general,play,Fiction,Drama,M,complete,magazine,,editor,1917,,一幕物。会話文比率の極値として参照点になる ／ 初出媒体は編者の判断（青空文庫の索引に初出欄なし）: 「新思潮」1917（大正6）年1月
000119,000624,中島敦,山月記,third,canonical,general,short-story,Fiction,Historical,M,complete,magazine,,editor,1942,,漢文脈の濃い短篇 ／ 初出媒体は編者の判断（青空文庫の索引に初出欄なし）: 「文學界」1942（昭和17）年2月
000119,001737,中島敦,李陵,third,canonical,general,novella,Fiction,Historical,M,complete,magazine,,editor,1943,,同上 ／ 初出媒体は編者の判断（青空文庫の索引に初出欄なし）: 「文學界」1943（昭和18）年7月。没後発表
000035,002282,太宰治,津軽,first,canonical,general,travelogue,Nonfiction,Travel,M,complete,,,,,,紀行。NDC は 913 だが小説ではなく紀行として扱う
001579,053013,室生犀星,幼年時代,first,canonical,general,novella,Fiction,Bildungsroman,M,complete,magazine,,editor,1919,,自伝的三部作の一 ／ 初出媒体は編者の判断（青空文庫の索引に初出欄なし）: 「中央公論」1919（大正8）年8月
001579,053012,室生犀星,性に眼覚める頃,first,canonical,general,novella,Fiction,Bildungsroman,M,complete,magazine,,editor,1919,,同上 ／ 初出媒体は編者の判断（青空文庫の索引に初出欄なし）: 「中央公論」1919（大正8）年10月
000280,001704,徳冨蘆花,みみずのたはこと,first,canonical,general,collection,Nonfiction,Sketch-Essay,M,complete,book,,editor,1913,,"随筆集。『不如帰』(1898)との文体差が測れる ／ 初出媒体は編者の判断（青空文庫の索引に初出欄なし）: 新橋堂, 1913"
000153,045462,石川啄木,雲は天才である,third,canonical,general,novella,Fiction,Modern,M,incomplete,,,,,,未完。会話符は『』が第一階層
000879,000069,芥川竜之介,河童,first,canonical,general,novella,Fiction,Satire,M,complete,,,,,,枠物語。「第二十三号」の手記という一人称
000879,000127,芥川竜之介,羅生門,third,canonical,general,short-story,Fiction,Historical,M,complete,,,,,,今昔物語に取材した歴史小説
000158,001510,島崎藤村,家（下）,,,,,,,,merged,,,,,下巻。本文は 000158_001509 に統合済み,03b_merge_volumes.py で結合。この行は書誌のみで本文を持たない
000158,1504-1507,島崎藤村,夜明け前（第一部上〜第二部下）,,,,,,,,superseded,,,,,,v1 の合本。増補で 001504〜001507 を分冊ごとに取り直したので，この行の実測値を corpus 集計に足すと『夜明け前』を二重に数える。本文ファイルは持たない書誌専用の行として残す
001779,056676,江戸川乱歩,灰色の巨人,,,,,,,,complete,,,,,「少年クラブ」大日本雄辯會講談社、1955（昭和30）年1〜12月号。底本『灰色の巨人／魔法博士』（江戸川乱歩推理文庫、講談社、1988）,v1 の 乱歩_灰色の巨人.txt は『魔法博士』の本文が入っていたが，増補でカード 56676 から取り直したので解消。全29章（「志摩の女王」〜「怪人のさいご」），56679『魔法博士』との文字12-gram 一致率 0.0009 で別作品であることを確認
000989,002577,三遊亭円朝,怪談牡丹灯籠,third,canonical,general,oral-transcript,Fiction,Ghost-Story,M,complete,book,1884,editor,1884,若林玵蔵の速記による口演筆記。言文一致体の直接の源流として採録,2026-09 リバランスで追加。明治前期の Fiction が皆無。口演速記は言文一致の直接の源流で，二葉亭『浮雲』の前史として要る
000989,000350,三遊亭円朝,真景累ヶ淵,third,canonical,general,oral-transcript,Fiction,Ghost-Story,M,complete,book,1888,editor,1888,同上。速記口演体,2026-09 リバランスで追加。同上。速記口演体の最長篇。『浮雲』(1887)とほぼ同時期で直接比較できる
000050,001087,泉鏡花,婦系図,third,canonical,general,novel,Fiction,Aesthetic,M,complete,newspaper,1907,editor,1907,「やまと新聞」1907年1〜4月連載,2026-09 リバランスで追加。反自然主義・雅俗折衷体。明治後期が自然主義に偏るのを是正する。鏡花は未収録
000214,001668,田山花袋,田舎教師,third,canonical,general,novel,Fiction,Naturalist,M,complete,book,1909,editor,1909,佐久良書房、1909年10月,2026-09 リバランスで追加。自然主義の代表作。花袋は未収録
000118,001745,長塚節,土,third,canonical,general,novel,Fiction,Naturalist,M,complete,newspaper,1910,editor,1910,「東京朝日新聞」1910年6〜11月連載。常陸方言を多く含む,2026-09 リバランスで追加。農民の方言を写した写実。語彙の層が他と大きく違う。長塚節は未収録
000023,000199,徳田秋声,あらくれ,third,canonical,general,novel,Fiction,Naturalist,M,complete,newspaper,1915,editor,1915,「読売新聞」1915年連載,2026-09 リバランスで追加。大正の長篇が薄い。秋声は未収録。女性主人公の長篇
000025,000201,有島武郎,或る女,third,canonical,general,novel,Fiction,Modern,M,complete,book,1919,editor,1919,叢文閣、1919年。初出は「白樺」1911〜13『或る女のグリンプス』,2026-09 リバランスで追加。白樺派。大正の長篇を補う。有島は未収録。女性主人公の長篇
000148,000789,夏目漱石,吾輩は猫である,first,canonical,general,novel,Fiction,Satire,M,complete,magazine,1905,card,,「ホトトギス」1905年1月〜1906年8月に断続連載,語り手は猫。**一人称だが人間ではない**。写生文の系譜で，現行の漱石4点に無い語彙層を持つ
000148,056143,夏目漱石,それから,third,canonical,general,novel,Fiction,Modern,M,complete,newspaper,1909,card,,「東京朝日新聞」「大阪朝日新聞」1909年6月27日〜10月4日,前期三部作の第二作。『三四郎』は収録済
000148,000785,夏目漱石,門,third,canonical,general,novel,Fiction,Modern,M,complete,newspaper,1910,card,,「朝日新聞」1910年3月1日〜6月12日,前期三部作の完結
000148,000775,夏目漱石,行人,first,canonical,general,novel,Fiction,Modern,M,complete,newspaper,1912,card,,「朝日新聞」1912年12月〜1913年11月,語り手は二郎の一人称。末尾「塵労」は H の長文書簡だが，**地の文の人称は替わらない**ので first とした（2026-09-26 に決めた基準。『こころ』『人間失格』と同じ扱い。埋め込みは embedded ストリームで扱う）
000148,000783,夏目漱石,道草,third,canonical,general,novel,Fiction,Modern,M,complete,newspaper,1915,card,,「朝日新聞」1915年6月3日〜9月14日,自伝的だが三人称（健三に寄る限定視点）。genre_sub は Autobiography ではなく Modern とした
000802,046650,三宅花圃,藪の鶯,third,canonical,general,novella,Fiction,Modern,F,complete,book,1888,card,,金港堂，1888年6月,近代日本で女性が書いた最初期の小説。前期〜中期の女性作家を2人にする
000040,000737,織田作之助,世相,first,canonical,general,short-story,Fiction,Modern,M,complete,magazine,1946,card,,「人間」1946年4月号,語り手は作家の「私」。戦後の男性作家として宮本百合子の偏重を薄める
000040,000337,織田作之助,土曜夫人,third,middlebrow,general,novel,Fiction,Melodrama,M,incomplete,newspaper,1946,editor,,「読売新聞」1946年8月〜1947年1月。連載中に作者が没し未完,**初出年は要典拠**（青空文庫のカードに初出の記載が無く，編者の記入）。新聞連載の風俗小説なので register は middlebrow とした
000168,002149,横光利一,微笑,first,canonical,general,short-story,Fiction,Modern,M,complete,magazine,1948,editor,,「人間」1948年,**初出年は要典拠**（カードに記載が無く，編者の記入。作者は1947年12月没）。語り手は要確認
000291,052236,林芙美子,浮雲,third,canonical,general,novel,Fiction,Modern,F,complete,magazine,1949,editor,1951,「風雪」1949年11月〜1950年8月，「文學界」1950年9月〜1951年4月に連載。1951年に単行本,**二葉亭四迷『浮雲』(1887) と同題**。作者名で区別すること。初出年は連載開始の1949年を採り，year_first_end に完結の1951年を入れた（年は編者の記入。カードの初出欄を確認されたい）。戦後の女性作家の長篇として，女性比と宮本百合子偏重の双方に効く
000291,059364,林芙美子,晩菊,third,canonical,general,short-story,Fiction,Modern,F,complete,magazine,1948,editor,1948,「別冊文藝春秋」1948年11月号,初出年は編者の記入。カードの初出欄を確認されたい
